web-scraper-order;web-scraper-start-url;titulo;preco;autore
1590766853-424;https://www.amazon.com.br/s?k=feminismo+negro&page6;Amoras;R$ 19,90;por Emicida e Aldo Fabrini
1590766866-604;https://www.amazon.com.br/s?k=feminismo+negro&page2;Lugar de Fala (Feminismos Plurais);R$ 13,41;por Djamila Ribeiro
1590766869-661;https://www.amazon.com.br/s?k=feminismo+negro&page1;Eu destilo melanina e mel;R$ 26,30;por Upile Chisala
1590766869-649;https://www.amazon.com.br/s?k=feminismo+negro&page1;Vozes Negras;R$ 0,00;por Pétala Souza, Isa  Souza, e outros.
1590766859-499;https://www.amazon.com.br/s?k=feminismo+negro&page4;Pele Negra, Máscaras Brancas;R$ 27,74;por Frantz Fanon
1590766866-609;https://www.amazon.com.br/s?k=feminismo+negro&page2;Empoderamento (Feminismos Plurais);R$ 14,55;por Joice Berth
1590766862-561;https://www.amazon.com.br/s?k=feminismo+negro&page3;Empoderamento (Feminismos Plurais);R$ 14,55;por Joice Berth
1590766869-646;https://www.amazon.com.br/s?k=feminismo+negro&page1;Gênero e desigualdades: limites da democracia no Brasil;R$ 0,00;por Flávia Biroli
1590766866-587;https://www.amazon.com.br/s?k=feminismo+negro&page2;O perigo de uma história única;R$ 8,90;por Chimamanda Ngozi Adichie e Julia Romeu
1590766856-454;https://www.amazon.com.br/s?k=feminismo+negro&page5;Gênero e desigualdades: limites da democracia no Brasil;R$ 0,00;por Flávia Biroli
1590766853-409;https://www.amazon.com.br/s?k=feminismo+negro&page6;Vozes Negras;R$ 0,00;por Pétala Souza, Isa  Souza, e outros.
1590766869-628;https://www.amazon.com.br/s?k=feminismo+negro&page1;Pequeno manual antirracista;R$ 17,40;por Djamila Ribeiro e Alceu Chiesorin Nunes
1590766853-422;https://www.amazon.com.br/s?k=feminismo+negro&page6;Repertório Bibliográfico sobre a Condição do Negro no Brasil;R$ 0,00;por Edições Câmara, Giselle Sousa, e outros.
1590766850-356;https://www.amazon.com.br/s?k=feminismo+negro&page7;Educação e libertação: a perspectiva das mulheres negras;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766869-639;https://www.amazon.com.br/s?k=feminismo+negro&page1;De bala em prosa: Vozes da resistência ao genocídio negro;R$ 0,00;por Vários autores
1590766856-450;https://www.amazon.com.br/s?k=feminismo+negro&page5;Racismo Estrutural (Feminismos Plurais);R$ 14,53;por Silvio Almeida
1590766859-517;https://www.amazon.com.br/s?k=feminismo+negro&page4;Eu destilo melanina e mel;R$ 26,30;por Upile Chisala
1590766866-619;https://www.amazon.com.br/s?k=feminismo+negro&page2;Ensinando a transgredir: A educação como prática da liberdade;R$ 33,93;por Bell Hooks e Marcelo Brandão Cipolla
1590766856-451;https://www.amazon.com.br/s?k=feminismo+negro&page5;Pele Negra, Máscaras Brancas;R$ 27,74;por Frantz Fanon
1590766859-526;https://www.amazon.com.br/s?k=feminismo+negro&page4;Má feminista - Ensaios provocativos de uma ativista desastrosa;R$ 11,39;por ROXANE GAY
1590766869-658;https://www.amazon.com.br/s?k=feminismo+negro&page1;Estupro, racismo e o mito do estuprador negro;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766862-564;https://www.amazon.com.br/s?k=feminismo+negro&page3;A liberdade é uma luta constante;R$ 20,61;por Angela Davis e Frank Barat
1590766869-645;https://www.amazon.com.br/s?k=feminismo+negro&page1;O Genocídio do negro brasileiro: Processo de um racismo mascarado;R$ 37,43;por Abdias Nascimento
1590766869-631;https://www.amazon.com.br/s?k=feminismo+negro&page1;Quando me descobri negra;R$ 32,00;por Bianca Santana e Mateu Velasco
1590766850-357;https://www.amazon.com.br/s?k=feminismo+negro&page7;O Genocídio do negro brasileiro: Processo de um racismo mascarado;R$ 37,43;por Abdias Nascimento
1590766869-638;https://www.amazon.com.br/s?k=feminismo+negro&page1;Olhares negros: Raça e representação (bell hooks);R$ 35,91;por bell hooks e Stephanie Borges
1590766859-514;https://www.amazon.com.br/s?k=feminismo+negro&page4;Estupro, racismo e o mito do estuprador negro;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766850-375;https://www.amazon.com.br/s?k=feminismo+negro&page7;Memórias da plantação: Episódios de racismo cotidiano;R$ 48,00;por Grada Kilomba e Jess Oliveira
1590766866-584;https://www.amazon.com.br/s?k=feminismo+negro&page2;Eu sei por que o pássaro canta na gaiola: Autobiografia de Maya Angelou;R$ 11,61;por Maya Angelou
1590766859-497;https://www.amazon.com.br/s?k=feminismo+negro&page4;Racismo, sexismo e desigualdade no Brasil;R$ 24,56;por Sueli Carneiro
1590766850-381;https://www.amazon.com.br/s?k=feminismo+negro&page7;Fique comigo;R$ 28,72;por Ayobami Adebayo e Marina Vargas
1590766850-366;https://www.amazon.com.br/s?k=feminismo+negro&page7;Pensando Como um Negro: Ensaio de Hermenêutica Jurídica;R$ 32,40;por Adilson José Moreira, Denise Deharo, e outros.
1590766862-541;https://www.amazon.com.br/s?k=feminismo+negro&page3;Eu, Tituba: Bruxa negra de Salem;R$ 35,56;por Maryse Condé
1590766869-669;https://www.amazon.com.br/s?k=feminismo+negro&page1;Fique comigo;R$ 28,72;por Ayobami Adebayo e Marina Vargas
1590766859-488;https://www.amazon.com.br/s?k=feminismo+negro&page4;Eu sei por que o pássaro canta na gaiola: Autobiografia de Maya Angelou;R$ 11,61;por Maya Angelou
1590766853-417;https://www.amazon.com.br/s?k=feminismo+negro&page6;Empoderamento (Feminismos Plurais);R$ 14,55;por Joice Berth
1590766850-348;https://www.amazon.com.br/s?k=feminismo+negro&page7;Erguer a voz: pensar como feminista, pensar como negra;R$ 34,20;por bell hooks e Cátia Bocaiuva Maringolo
1590766859-524;https://www.amazon.com.br/s?k=feminismo+negro&page4;Cultura negra em tempos pós-modernos;R$ 0,00;por Marco Aurélio Luz
1590766850-365;https://www.amazon.com.br/s?k=feminismo+negro&page7;Interseccionalidades: pioneiras do feminismo negro brasileiro (Pensamento feminista brasileiro);R$ 4,90;por Heloisa Buarque de Hollanda, Beatriz Nascimento, e outros.
1590766853-432;https://www.amazon.com.br/s?k=feminismo+negro&page6;No fundo do poço;R$ 45,89;por Buchi Emecheta
1590766859-508;https://www.amazon.com.br/s?k=feminismo+negro&page4;Lugar de Fala (Feminismos Plurais);R$ 13,41;por Djamila Ribeiro
1590766866-617;https://www.amazon.com.br/s?k=feminismo+negro&page2;Mulheres, cultura e política;R$ 25,11;por Angela Davis e Vilma Reis
1590766866-597;https://www.amazon.com.br/s?k=feminismo+negro&page2;O Genocídio do negro brasileiro: Processo de um racismo mascarado;R$ 37,43;por Abdias Nascimento
1590766850-340;https://www.amazon.com.br/s?k=feminismo+negro&page7;Pequeno manual antirracista;R$ 17,40;por Djamila Ribeiro e Alceu Chiesorin Nunes
1590766869-637;https://www.amazon.com.br/s?k=feminismo+negro&page1;Eu, Tituba: Bruxa negra de Salem;R$ 35,56;por Maryse Condé
1590766862-547;https://www.amazon.com.br/s?k=feminismo+negro&page3;Pele Negra, Máscaras Brancas;R$ 27,74;por Frantz Fanon
1590766856-435;https://www.amazon.com.br/s?k=feminismo+negro&page5;E eu não sou uma mulher?: Mulheres negras e feminismo;R$ 29,88;por bell hooks e Bhuvi Libanio
1590766859-487;https://www.amazon.com.br/s?k=feminismo+negro&page4;Quando me descobri negra;R$ 32,00;por Bianca Santana e Mateu Velasco
1590766869-665;https://www.amazon.com.br/s?k=feminismo+negro&page1;Mulheres, cultura e política;R$ 25,11;por Angela Davis e Vilma Reis
1590766856-472;https://www.amazon.com.br/s?k=feminismo+negro&page5;Amoras;R$ 19,90;por Emicida e Aldo Fabrini
1590766850-380;https://www.amazon.com.br/s?k=feminismo+negro&page7;Cultura negra em tempos pós-modernos;R$ 0,00;por Marco Aurélio Luz
1590766850-338;https://www.amazon.com.br/s?k=feminismo+negro&page7;Quem tem medo do feminismo negro?;R$ 14,63;por Djamila Ribeiro
1590766850-351;https://www.amazon.com.br/s?k=feminismo+negro&page7;De bala em prosa: Vozes da resistência ao genocídio negro;R$ 0,00;por Vários autores
1590766869-648;https://www.amazon.com.br/s?k=feminismo+negro&page1;Pensamento feminista hoje: Perspectivas decoloniais;R$ 51,00;por Buarque de Hollanda Heloisa, Adriana Varejão, e outros.
1590766866-621;https://www.amazon.com.br/s?k=feminismo+negro&page2;Fique comigo;R$ 28,72;por Ayobami Adebayo e Marina Vargas
1590766853-405;https://www.amazon.com.br/s?k=feminismo+negro&page6;O Genocídio do negro brasileiro: Processo de um racismo mascarado;R$ 37,43;por Abdias Nascimento
1590766862-567;https://www.amazon.com.br/s?k=feminismo+negro&page3;Memórias da plantação: Episódios de racismo cotidiano;R$ 48,00;por Grada Kilomba e Jess Oliveira
1590766853-415;https://www.amazon.com.br/s?k=feminismo+negro&page6;FEMINISMO NEGRO: A luta por reconhecimento da mulher negra no Brasil;R$ 0,00;por Ceila Sales de Almeida
1590766856-436;https://www.amazon.com.br/s?k=feminismo+negro&page5;Pequeno manual antirracista;R$ 17,40;por Djamila Ribeiro e Alceu Chiesorin Nunes
1590766866-610;https://www.amazon.com.br/s?k=feminismo+negro&page2;Estupro, racismo e o mito do estuprador negro;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766850-337;https://www.amazon.com.br/s?k=feminismo+negro&page7;Quem tem medo do feminismo negro?;R$ 20,90;por Djamila Ribeiro
1590766856-442;https://www.amazon.com.br/s?k=feminismo+negro&page5;Pensamento Feminista Negro. Conhecimento, Consciência e a Política do Empoderamento;R$ 54,75;por Silvana Rando e Jamile Pinheiro Dias
1590766853-416;https://www.amazon.com.br/s?k=feminismo+negro&page6;Quadro Feminismo Mulheres Negras Não Serão Intimidadas 1980;R$ 46,00;null
1590766862-533;https://www.amazon.com.br/s?k=feminismo+negro&page3;O feminismo é para todo mundo: Políticas arrebatadoras;R$ 29,88;por bell hooks e Ana Luiza Libânio
1590766859-512;https://www.amazon.com.br/s?k=feminismo+negro&page4;Quadro Feminismo Mulheres Negras Não Serão Intimidadas 1980;R$ 46,00;null
1590766869-650;https://www.amazon.com.br/s?k=feminismo+negro&page1;Encarceramento em Massa;R$ 17,91;por Juliana Borges
1590766856-441;https://www.amazon.com.br/s?k=feminismo+negro&page5;Racismo Recreativo (Feminismos Plurais);R$ 17,91;por Adilson Moreira
1590766862-562;https://www.amazon.com.br/s?k=feminismo+negro&page3;Estupro, racismo e o mito do estuprador negro;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766859-505;https://www.amazon.com.br/s?k=feminismo+negro&page4;Vozes Negras;R$ 0,00;por Pétala Souza, Isa  Souza, e outros.
1590766859-502;https://www.amazon.com.br/s?k=feminismo+negro&page4;Gênero e desigualdades: limites da democracia no Brasil;R$ 0,00;por Flávia Biroli
1590766866-588;https://www.amazon.com.br/s?k=feminismo+negro&page2;Erguer a voz: pensar como feminista, pensar como negra;R$ 34,20;por bell hooks e Cátia Bocaiuva Maringolo
1590766862-572;https://www.amazon.com.br/s?k=feminismo+negro&page3;Cultura negra em tempos pós-modernos;R$ 0,00;por Marco Aurélio Luz
1590766856-444;https://www.amazon.com.br/s?k=feminismo+negro&page5;Erguer a voz: pensar como feminista, pensar como negra;R$ 34,20;por bell hooks e Cátia Bocaiuva Maringolo
1590766856-480;https://www.amazon.com.br/s?k=feminismo+negro&page5;No fundo do poço;R$ 45,89;por Buchi Emecheta
1590766850-359;https://www.amazon.com.br/s?k=feminismo+negro&page7;Sem gentileza;R$ 24,78;por Futhi Ntshingila e Hilton Lima
1590766862-548;https://www.amazon.com.br/s?k=feminismo+negro&page3;Educação e libertação: a perspectiva das mulheres negras;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766856-468;https://www.amazon.com.br/s?k=feminismo+negro&page5;A liberdade é uma luta constante;R$ 20,61;por Angela Davis e Frank Barat
1590766850-372;https://www.amazon.com.br/s?k=feminismo+negro&page7;A liberdade é uma luta constante;R$ 20,61;por Angela Davis e Frank Barat
1590766853-398;https://www.amazon.com.br/s?k=feminismo+negro&page6;Olhares negros: Raça e representação (bell hooks);R$ 35,91;por bell hooks e Stephanie Borges
