web-scraper-order;web-scraper-start-url;titulo;preco;autore
1590766862-550;https://www.amazon.com.br/s?k=feminismo+negro&page3;Gênero e desigualdades: limites da democracia no Brasil;R$ 0,00;por Flávia Biroli
1590766856-467;https://www.amazon.com.br/s?k=feminismo+negro&page5;Racismo no movimento sufragista feminino;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766856-437;https://www.amazon.com.br/s?k=feminismo+negro&page5;O feminismo é para todo mundo: Políticas arrebatadoras;R$ 29,88;por bell hooks e Ana Luiza Libânio
1590766853-423;https://www.amazon.com.br/s?k=feminismo+negro&page6;Memórias da plantação: Episódios de racismo cotidiano;R$ 48,00;por Grada Kilomba e Jess Oliveira
1590766856-464;https://www.amazon.com.br/s?k=feminismo+negro&page5;Quadro Feminismo Mulheres Negras Não Serão Intimidadas 1980;R$ 46,00;null
1590766859-513;https://www.amazon.com.br/s?k=feminismo+negro&page4;Empoderamento (Feminismos Plurais);R$ 14,55;por Joice Berth
1590766856-466;https://www.amazon.com.br/s?k=feminismo+negro&page5;Estupro, racismo e o mito do estuprador negro;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766850-371;https://www.amazon.com.br/s?k=feminismo+negro&page7;Racismo no movimento sufragista feminino;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766859-506;https://www.amazon.com.br/s?k=feminismo+negro&page4;Encarceramento em Massa;R$ 17,91;por Juliana Borges
1590766862-549;https://www.amazon.com.br/s?k=feminismo+negro&page3;O Genocídio do negro brasileiro: Processo de um racismo mascarado;R$ 37,43;por Abdias Nascimento
1590766859-501;https://www.amazon.com.br/s?k=feminismo+negro&page4;O Genocídio do negro brasileiro: Processo de um racismo mascarado;R$ 37,43;por Abdias Nascimento
1590766853-386;https://www.amazon.com.br/s?k=feminismo+negro&page6;Quem tem medo do feminismo negro?;R$ 14,63;por Djamila Ribeiro
1590766869-642;https://www.amazon.com.br/s?k=feminismo+negro&page1;Racismo Estrutural (Feminismos Plurais);R$ 14,53;por Silvio Almeida
1590766856-452;https://www.amazon.com.br/s?k=feminismo+negro&page5;Educação e libertação: a perspectiva das mulheres negras;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766866-600;https://www.amazon.com.br/s?k=feminismo+negro&page2;Pensamento feminista hoje: Perspectivas decoloniais;R$ 51,00;por Buarque de Hollanda Heloisa, Adriana Varejão, e outros.
1590766859-492;https://www.amazon.com.br/s?k=feminismo+negro&page4;Erguer a voz: pensar como feminista, pensar como negra;R$ 34,20;por bell hooks e Cátia Bocaiuva Maringolo
1590766850-346;https://www.amazon.com.br/s?k=feminismo+negro&page7;Pensamento Feminista Negro. Conhecimento, Consciência e a Política do Empoderamento;R$ 54,75;por Silvana Rando e Jamile Pinheiro Dias
1590766869-664;https://www.amazon.com.br/s?k=feminismo+negro&page1;Amoras;R$ 19,90;por Emicida e Aldo Fabrini
1590766866-580;https://www.amazon.com.br/s?k=feminismo+negro&page2;Pequeno manual antirracista;R$ 17,40;por Djamila Ribeiro e Alceu Chiesorin Nunes
1590766859-523;https://www.amazon.com.br/s?k=feminismo+negro&page4;Ensinando a transgredir: A educação como prática da liberdade;R$ 33,93;por Bell Hooks e Marcelo Brandão Cipolla
1590766859-484;https://www.amazon.com.br/s?k=feminismo+negro&page4;Pequeno manual antirracista;R$ 17,40;por Djamila Ribeiro e Alceu Chiesorin Nunes
1590766853-411;https://www.amazon.com.br/s?k=feminismo+negro&page6;Negritude sem etnicidade: o local e o global nas relações raciais e na produção cultural negra do Brasil;R$ 0,00;por Li­vio Sansone
1590766850-367;https://www.amazon.com.br/s?k=feminismo+negro&page7;FEMINISMO NEGRO: A luta por reconhecimento da mulher negra no Brasil;R$ 0,00;por Ceila Sales de Almeida
1590766862-569;https://www.amazon.com.br/s?k=feminismo+negro&page3;Mulheres, cultura e política;R$ 25,11;por Angela Davis e Vilma Reis
1590766866-589;https://www.amazon.com.br/s?k=feminismo+negro&page2;Eu, Tituba: Bruxa negra de Salem;R$ 35,56;por Maryse Condé
1590766866-616;https://www.amazon.com.br/s?k=feminismo+negro&page2;Amoras;R$ 19,90;por Emicida e Aldo Fabrini
1590766856-455;https://www.amazon.com.br/s?k=feminismo+negro&page5;Sem gentileza;R$ 24,78;por Futhi Ntshingila e Hilton Lima
1590766859-503;https://www.amazon.com.br/s?k=feminismo+negro&page4;Sem gentileza;R$ 24,78;por Futhi Ntshingila e Hilton Lima
1590766869-627;https://www.amazon.com.br/s?k=feminismo+negro&page1;E eu não sou uma mulher?: Mulheres negras e feminismo;R$ 29,88;por bell hooks e Bhuvi Libanio
1590766869-660;https://www.amazon.com.br/s?k=feminismo+negro&page1;A liberdade é uma luta constante;R$ 20,61;por Angela Davis e Frank Barat
1590766869-670;https://www.amazon.com.br/s?k=feminismo+negro&page1;Má feminista - Ensaios provocativos de uma ativista desastrosa;R$ 11,39;por ROXANE GAY
1590766859-495;https://www.amazon.com.br/s?k=feminismo+negro&page4;De bala em prosa: Vozes da resistência ao genocídio negro;R$ 0,00;por Vários autores
1590766866-608;https://www.amazon.com.br/s?k=feminismo+negro&page2;Quadro Feminismo Mulheres Negras Não Serão Intimidadas 1980;R$ 46,00;null
1590766869-654;https://www.amazon.com.br/s?k=feminismo+negro&page1;Pensando Como um Negro: Ensaio de Hermenêutica Jurídica;R$ 32,40;por Adilson José Moreira, Denise Deharo, e outros.
1590766862-544;https://www.amazon.com.br/s?k=feminismo+negro&page3;Interseccionalidade;R$ 24,90;por Carla Akotirene
1590766866-601;https://www.amazon.com.br/s?k=feminismo+negro&page2;Vozes Negras;R$ 0,00;por Pétala Souza, Isa  Souza, e outros.
1590766869-632;https://www.amazon.com.br/s?k=feminismo+negro&page1;Eu sei por que o pássaro canta na gaiola: Autobiografia de Maya Angelou;R$ 11,61;por Maya Angelou
1590766856-477;https://www.amazon.com.br/s?k=feminismo+negro&page5;Fique comigo;R$ 28,72;por Ayobami Adebayo e Marina Vargas
1590766859-522;https://www.amazon.com.br/s?k=feminismo+negro&page4;Deus ajude essa criança;R$ 30,90;por Toni Morrison
1590766850-358;https://www.amazon.com.br/s?k=feminismo+negro&page7;Gênero e desigualdades: limites da democracia no Brasil;R$ 0,00;por Flávia Biroli
1590766862-557;https://www.amazon.com.br/s?k=feminismo+negro&page3;Interseccionalidades: pioneiras do feminismo negro brasileiro (Pensamento feminista brasileiro);R$ 4,90;por Heloisa Buarque de Hollanda, Beatriz Nascimento, e outros.
1590766869-629;https://www.amazon.com.br/s?k=feminismo+negro&page1;O feminismo é para todo mundo: Políticas arrebatadoras;R$ 29,88;por bell hooks e Ana Luiza Libânio
1590766866-579;https://www.amazon.com.br/s?k=feminismo+negro&page2;E eu não sou uma mulher?: Mulheres negras e feminismo;R$ 29,88;por bell hooks e Bhuvi Libanio
1590766856-479;https://www.amazon.com.br/s?k=feminismo+negro&page5;Ó pa í, Prezada;R$ 41,76;por Carla Akotirene
1590766853-414;https://www.amazon.com.br/s?k=feminismo+negro&page6;Pensando Como um Negro: Ensaio de Hermenêutica Jurídica;R$ 32,40;por Adilson José Moreira, Denise Deharo, e outros.
1590766866-578;https://www.amazon.com.br/s?k=feminismo+negro&page2;Quem tem medo do feminismo negro?;R$ 14,63;por Djamila Ribeiro
1590766866-598;https://www.amazon.com.br/s?k=feminismo+negro&page2;Gênero e desigualdades: limites da democracia no Brasil;R$ 0,00;por Flávia Biroli
1590766862-559;https://www.amazon.com.br/s?k=feminismo+negro&page3;FEMINISMO NEGRO: A luta por reconhecimento da mulher negra no Brasil;R$ 0,00;por Ceila Sales de Almeida
1590766866-602;https://www.amazon.com.br/s?k=feminismo+negro&page2;Encarceramento em Massa;R$ 17,91;por Juliana Borges
1590766853-393;https://www.amazon.com.br/s?k=feminismo+negro&page6;Racismo Recreativo (Feminismos Plurais);R$ 17,91;por Adilson Moreira
1590766869-633;https://www.amazon.com.br/s?k=feminismo+negro&page1;Racismo Recreativo (Feminismos Plurais);R$ 17,91;por Adilson Moreira
1590766853-421;https://www.amazon.com.br/s?k=feminismo+negro&page6;Eu destilo melanina e mel;R$ 26,30;por Upile Chisala
1590766866-613;https://www.amazon.com.br/s?k=feminismo+negro&page2;Eu destilo melanina e mel;R$ 26,30;por Upile Chisala
1590766869-659;https://www.amazon.com.br/s?k=feminismo+negro&page1;Racismo no movimento sufragista feminino;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766853-408;https://www.amazon.com.br/s?k=feminismo+negro&page6;Pensamento feminista hoje: Perspectivas decoloniais;R$ 51,00;por Buarque de Hollanda Heloisa, Adriana Varejão, e outros.
1590766859-500;https://www.amazon.com.br/s?k=feminismo+negro&page4;Educação e libertação: a perspectiva das mulheres negras;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766862-538;https://www.amazon.com.br/s?k=feminismo+negro&page3;Pensamento Feminista Negro. Conhecimento, Consciência e a Política do Empoderamento;R$ 54,75;por Silvana Rando e Jamile Pinheiro Dias
1590766850-378;https://www.amazon.com.br/s?k=feminismo+negro&page7;Deus ajude essa criança;R$ 30,90;por Toni Morrison
1590766866-611;https://www.amazon.com.br/s?k=feminismo+negro&page2;Racismo no movimento sufragista feminino;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766869-652;https://www.amazon.com.br/s?k=feminismo+negro&page1;Lugar de Fala (Feminismos Plurais);R$ 13,41;por Djamila Ribeiro
1590766859-494;https://www.amazon.com.br/s?k=feminismo+negro&page4;Olhares negros: Raça e representação (bell hooks);R$ 35,91;por bell hooks e Stephanie Borges
1590766869-636;https://www.amazon.com.br/s?k=feminismo+negro&page1;Erguer a voz: pensar como feminista, pensar como negra;R$ 34,20;por bell hooks e Cátia Bocaiuva Maringolo
1590766853-390;https://www.amazon.com.br/s?k=feminismo+negro&page6;Mulheres, raça e classe;R$ 25,11;por Angela Davis, Rosane Borges, e outros.
1590766866-593;https://www.amazon.com.br/s?k=feminismo+negro&page2;Racismo, sexismo e desigualdade no Brasil;R$ 24,56;por Sueli Carneiro
1590766856-476;https://www.amazon.com.br/s?k=feminismo+negro&page5;Cultura negra em tempos pós-modernos;R$ 0,00;por Marco Aurélio Luz
1590766850-361;https://www.amazon.com.br/s?k=feminismo+negro&page7;Vozes Negras;R$ 0,00;por Pétala Souza, Isa  Souza, e outros.
1590766866-582;https://www.amazon.com.br/s?k=feminismo+negro&page2;Mulheres, raça e classe;R$ 25,11;por Angela Davis, Rosane Borges, e outros.
1590766859-527;https://www.amazon.com.br/s?k=feminismo+negro&page4;Ó pa í, Prezada;R$ 41,76;por Carla Akotirene
1590766869-667;https://www.amazon.com.br/s?k=feminismo+negro&page1;Ensinando a transgredir: A educação como prática da liberdade;R$ 33,93;por Bell Hooks e Marcelo Brandão Cipolla
1590766853-399;https://www.amazon.com.br/s?k=feminismo+negro&page6;De bala em prosa: Vozes da resistência ao genocídio negro;R$ 0,00;por Vários autores
1590766862-555;https://www.amazon.com.br/s?k=feminismo+negro&page3;Negritude sem etnicidade: o local e o global nas relações raciais e na produção cultural negra do Brasil;R$ 0,00;por Li­vio Sansone
1590766853-397;https://www.amazon.com.br/s?k=feminismo+negro&page6;Eu, Tituba: Bruxa negra de Salem;R$ 35,56;por Maryse Condé
1590766850-368;https://www.amazon.com.br/s?k=feminismo+negro&page7;Quadro Feminismo Mulheres Negras Não Serão Intimidadas 1980;R$ 46,00;null
1590766853-419;https://www.amazon.com.br/s?k=feminismo+negro&page6;Racismo no movimento sufragista feminino;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766862-542;https://www.amazon.com.br/s?k=feminismo+negro&page3;Olhares negros: Raça e representação (bell hooks);R$ 35,91;por bell hooks e Stephanie Borges
1590766866-591;https://www.amazon.com.br/s?k=feminismo+negro&page2;De bala em prosa: Vozes da resistência ao genocídio negro;R$ 0,00;por Vários autores
1590766859-486;https://www.amazon.com.br/s?k=feminismo+negro&page4;Mulheres, raça e classe;R$ 25,11;por Angela Davis, Rosane Borges, e outros.
1590766859-482;https://www.amazon.com.br/s?k=feminismo+negro&page4;Quem tem medo do feminismo negro?;R$ 14,63;por Djamila Ribeiro
1590766850-341;https://www.amazon.com.br/s?k=feminismo+negro&page7;O feminismo é para todo mundo: Políticas arrebatadoras;R$ 29,88;por bell hooks e Ana Luiza Libânio
1590766856-448;https://www.amazon.com.br/s?k=feminismo+negro&page5;Interseccionalidade;R$ 24,90;por Carla Akotirene
1590766862-539;https://www.amazon.com.br/s?k=feminismo+negro&page3;O perigo de uma história única;R$ 8,90;por Chimamanda Ngozi Adichie e Julia Romeu
1590766859-504;https://www.amazon.com.br/s?k=feminismo+negro&page4;Pensamento feminista hoje: Perspectivas decoloniais;R$ 51,00;por Buarque de Hollanda Heloisa, Adriana Varejão, e outros.
1590766862-576;https://www.amazon.com.br/s?k=feminismo+negro&page3;No fundo do poço;R$ 45,89;por Buchi Emecheta
1590766859-498;https://www.amazon.com.br/s?k=feminismo+negro&page4;Racismo Estrutural (Feminismos Plurais);R$ 14,53;por Silvio Almeida
1590766866-581;https://www.amazon.com.br/s?k=feminismo+negro&page2;O feminismo é para todo mundo: Políticas arrebatadoras;R$ 29,88;por bell hooks e Ana Luiza Libânio
1590766862-553;https://www.amazon.com.br/s?k=feminismo+negro&page3;Vozes Negras;R$ 0,00;por Pétala Souza, Isa  Souza, e outros.
1590766866-577;https://www.amazon.com.br/s?k=feminismo+negro&page2;Quem tem medo do feminismo negro?;R$ 20,90;por Djamila Ribeiro
1590766853-394;https://www.amazon.com.br/s?k=feminismo+negro&page6;Pensamento Feminista Negro. Conhecimento, Consciência e a Política do Empoderamento;R$ 54,75;por Silvana Rando e Jamile Pinheiro Dias
1590766869-630;https://www.amazon.com.br/s?k=feminismo+negro&page1;Mulheres, raça e classe;R$ 25,11;por Angela Davis, Rosane Borges, e outros.
1590766869-653;https://www.amazon.com.br/s?k=feminismo+negro&page1;Interseccionalidades: pioneiras do feminismo negro brasileiro (Pensamento feminista brasileiro);R$ 4,90;por Heloisa Buarque de Hollanda, Beatriz Nascimento, e outros.
1590766850-382;https://www.amazon.com.br/s?k=feminismo+negro&page7;Má feminista - Ensaios provocativos de uma ativista desastrosa;R$ 11,39;por ROXANE GAY
1590766866-622;https://www.amazon.com.br/s?k=feminismo+negro&page2;Má feminista - Ensaios provocativos de uma ativista desastrosa;R$ 11,39;por ROXANE GAY
1590766862-568;https://www.amazon.com.br/s?k=feminismo+negro&page3;Amoras;R$ 19,90;por Emicida e Aldo Fabrini
1590766869-641;https://www.amazon.com.br/s?k=feminismo+negro&page1;Racismo, sexismo e desigualdade no Brasil;R$ 24,56;por Sueli Carneiro
1590766859-521;https://www.amazon.com.br/s?k=feminismo+negro&page4;Mulheres, cultura e política;R$ 25,11;por Angela Davis e Vilma Reis
1590766859-520;https://www.amazon.com.br/s?k=feminismo+negro&page4;Amoras;R$ 19,90;por Emicida e Aldo Fabrini
1590766869-640;https://www.amazon.com.br/s?k=feminismo+negro&page1;Interseccionalidade;R$ 24,90;por Carla Akotirene
1590766859-493;https://www.amazon.com.br/s?k=feminismo+negro&page4;Eu, Tituba: Bruxa negra de Salem;R$ 35,56;por Maryse Condé
1590766862-537;https://www.amazon.com.br/s?k=feminismo+negro&page3;Racismo Recreativo (Feminismos Plurais);R$ 17,91;por Adilson Moreira
1590766850-355;https://www.amazon.com.br/s?k=feminismo+negro&page7;Pele Negra, Máscaras Brancas;R$ 27,74;por Frantz Fanon
1590766862-566;https://www.amazon.com.br/s?k=feminismo+negro&page3;Repertório Bibliográfico sobre a Condição do Negro no Brasil;R$ 0,00;por Edições Câmara, Giselle Sousa, e outros.
1590766866-595;https://www.amazon.com.br/s?k=feminismo+negro&page2;Pele Negra, Máscaras Brancas;R$ 27,74;por Frantz Fanon
1590766862-530;https://www.amazon.com.br/s?k=feminismo+negro&page3;Quem tem medo do feminismo negro?;R$ 14,63;por Djamila Ribeiro
1590766853-420;https://www.amazon.com.br/s?k=feminismo+negro&page6;A liberdade é uma luta constante;R$ 20,61;por Angela Davis e Frank Barat
1590766859-509;https://www.amazon.com.br/s?k=feminismo+negro&page4;Interseccionalidades: pioneiras do feminismo negro brasileiro (Pensamento feminista brasileiro);R$ 4,90;por Heloisa Buarque de Hollanda, Beatriz Nascimento, e outros.
1590766856-433;https://www.amazon.com.br/s?k=feminismo+negro&page5;Quem tem medo do feminismo negro?;R$ 20,90;por Djamila Ribeiro
1590766856-449;https://www.amazon.com.br/s?k=feminismo+negro&page5;Racismo, sexismo e desigualdade no Brasil;R$ 24,56;por Sueli Carneiro
1590766866-605;https://www.amazon.com.br/s?k=feminismo+negro&page2;Interseccionalidades: pioneiras do feminismo negro brasileiro (Pensamento feminista brasileiro);R$ 4,90;por Heloisa Buarque de Hollanda, Beatriz Nascimento, e outros.
1590766866-586;https://www.amazon.com.br/s?k=feminismo+negro&page2;Pensamento Feminista Negro. Conhecimento, Consciência e a Política do Empoderamento;R$ 54,75;por Silvana Rando e Jamile Pinheiro Dias
1590766862-570;https://www.amazon.com.br/s?k=feminismo+negro&page3;Deus ajude essa criança;R$ 30,90;por Toni Morrison
1590766853-388;https://www.amazon.com.br/s?k=feminismo+negro&page6;Pequeno manual antirracista;R$ 17,40;por Djamila Ribeiro e Alceu Chiesorin Nunes
1590766850-376;https://www.amazon.com.br/s?k=feminismo+negro&page7;Amoras;R$ 19,90;por Emicida e Aldo Fabrini
1590766862-529;https://www.amazon.com.br/s?k=feminismo+negro&page3;Quem tem medo do feminismo negro?;R$ 20,90;por Djamila Ribeiro
1590766853-385;https://www.amazon.com.br/s?k=feminismo+negro&page6;Quem tem medo do feminismo negro?;R$ 20,90;por Djamila Ribeiro
1590766862-554;https://www.amazon.com.br/s?k=feminismo+negro&page3;Encarceramento em Massa;R$ 17,91;por Juliana Borges
1590766859-483;https://www.amazon.com.br/s?k=feminismo+negro&page4;E eu não sou uma mulher?: Mulheres negras e feminismo;R$ 29,88;por bell hooks e Bhuvi Libanio
1590766853-404;https://www.amazon.com.br/s?k=feminismo+negro&page6;Educação e libertação: a perspectiva das mulheres negras;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766866-618;https://www.amazon.com.br/s?k=feminismo+negro&page2;Deus ajude essa criança;R$ 30,90;por Toni Morrison
1590766866-603;https://www.amazon.com.br/s?k=feminismo+negro&page2;Negritude sem etnicidade: o local e o global nas relações raciais e na produção cultural negra do Brasil;R$ 0,00;por Li­vio Sansone
1590766853-427;https://www.amazon.com.br/s?k=feminismo+negro&page6;Ensinando a transgredir: A educação como prática da liberdade;R$ 33,93;por Bell Hooks e Marcelo Brandão Cipolla
1590766853-391;https://www.amazon.com.br/s?k=feminismo+negro&page6;Quando me descobri negra;R$ 32,00;por Bianca Santana e Mateu Velasco
1590766856-463;https://www.amazon.com.br/s?k=feminismo+negro&page5;FEMINISMO NEGRO: A luta por reconhecimento da mulher negra no Brasil;R$ 0,00;por Ceila Sales de Almeida
1590766856-447;https://www.amazon.com.br/s?k=feminismo+negro&page5;De bala em prosa: Vozes da resistência ao genocídio negro;R$ 0,00;por Vários autores
1590766866-592;https://www.amazon.com.br/s?k=feminismo+negro&page2;Interseccionalidade;R$ 24,90;por Carla Akotirene
1590766850-353;https://www.amazon.com.br/s?k=feminismo+negro&page7;Racismo, sexismo e desigualdade no Brasil;R$ 24,56;por Sueli Carneiro
1590766866-583;https://www.amazon.com.br/s?k=feminismo+negro&page2;Quando me descobri negra;R$ 32,00;por Bianca Santana e Mateu Velasco
1590766856-469;https://www.amazon.com.br/s?k=feminismo+negro&page5;Eu destilo melanina e mel;R$ 26,30;por Upile Chisala
1590766859-511;https://www.amazon.com.br/s?k=feminismo+negro&page4;FEMINISMO NEGRO: A luta por reconhecimento da mulher negra no Brasil;R$ 0,00;por Ceila Sales de Almeida
1590766853-431;https://www.amazon.com.br/s?k=feminismo+negro&page6;Ó pa í, Prezada;R$ 41,76;por Carla Akotirene
1590766856-453;https://www.amazon.com.br/s?k=feminismo+negro&page5;O Genocídio do negro brasileiro: Processo de um racismo mascarado;R$ 37,43;por Abdias Nascimento
1590766866-620;https://www.amazon.com.br/s?k=feminismo+negro&page2;Cultura negra em tempos pós-modernos;R$ 0,00;por Marco Aurélio Luz
1590766862-540;https://www.amazon.com.br/s?k=feminismo+negro&page3;Erguer a voz: pensar como feminista, pensar como negra;R$ 34,20;por bell hooks e Cátia Bocaiuva Maringolo
1590766853-430;https://www.amazon.com.br/s?k=feminismo+negro&page6;Má feminista - Ensaios provocativos de uma ativista desastrosa;R$ 11,39;por ROXANE GAY
1590766869-657;https://www.amazon.com.br/s?k=feminismo+negro&page1;Empoderamento (Feminismos Plurais);R$ 14,55;por Joice Berth
1590766859-491;https://www.amazon.com.br/s?k=feminismo+negro&page4;O perigo de uma história única;R$ 8,90;por Chimamanda Ngozi Adichie e Julia Romeu
1590766869-635;https://www.amazon.com.br/s?k=feminismo+negro&page1;O perigo de uma história única;R$ 8,90;por Chimamanda Ngozi Adichie e Julia Romeu
1590766856-478;https://www.amazon.com.br/s?k=feminismo+negro&page5;Má feminista - Ensaios provocativos de uma ativista desastrosa;R$ 11,39;por ROXANE GAY
1590766862-552;https://www.amazon.com.br/s?k=feminismo+negro&page3;Pensamento feminista hoje: Perspectivas decoloniais;R$ 51,00;por Buarque de Hollanda Heloisa, Adriana Varejão, e outros.
1590766869-666;https://www.amazon.com.br/s?k=feminismo+negro&page1;Deus ajude essa criança;R$ 30,90;por Toni Morrison
1590766850-345;https://www.amazon.com.br/s?k=feminismo+negro&page7;Racismo Recreativo (Feminismos Plurais);R$ 17,91;por Adilson Moreira
1590766869-663;https://www.amazon.com.br/s?k=feminismo+negro&page1;Memórias da plantação: Episódios de racismo cotidiano;R$ 48,00;por Grada Kilomba e Jess Oliveira
1590766866-624;https://www.amazon.com.br/s?k=feminismo+negro&page2;No fundo do poço;R$ 45,89;por Buchi Emecheta
1590766850-363;https://www.amazon.com.br/s?k=feminismo+negro&page7;Negritude sem etnicidade: o local e o global nas relações raciais e na produção cultural negra do Brasil;R$ 0,00;por Li­vio Sansone
1590766853-413;https://www.amazon.com.br/s?k=feminismo+negro&page6;Interseccionalidades: pioneiras do feminismo negro brasileiro (Pensamento feminista brasileiro);R$ 4,90;por Heloisa Buarque de Hollanda, Beatriz Nascimento, e outros.
1590766850-373;https://www.amazon.com.br/s?k=feminismo+negro&page7;Eu destilo melanina e mel;R$ 26,30;por Upile Chisala
1590766850-379;https://www.amazon.com.br/s?k=feminismo+negro&page7;Ensinando a transgredir: A educação como prática da liberdade;R$ 33,93;por Bell Hooks e Marcelo Brandão Cipolla
1590766853-403;https://www.amazon.com.br/s?k=feminismo+negro&page6;Pele Negra, Máscaras Brancas;R$ 27,74;por Frantz Fanon
1590766856-474;https://www.amazon.com.br/s?k=feminismo+negro&page5;Deus ajude essa criança;R$ 30,90;por Toni Morrison
1590766862-560;https://www.amazon.com.br/s?k=feminismo+negro&page3;Quadro Feminismo Mulheres Negras Não Serão Intimidadas 1980;R$ 46,00;null
1590766862-556;https://www.amazon.com.br/s?k=feminismo+negro&page3;Lugar de Fala (Feminismos Plurais);R$ 13,41;por Djamila Ribeiro
1590766853-402;https://www.amazon.com.br/s?k=feminismo+negro&page6;Racismo Estrutural (Feminismos Plurais);R$ 14,53;por Silvio Almeida
1590766850-354;https://www.amazon.com.br/s?k=feminismo+negro&page7;Racismo Estrutural (Feminismos Plurais);R$ 14,53;por Silvio Almeida
1590766866-612;https://www.amazon.com.br/s?k=feminismo+negro&page2;A liberdade é uma luta constante;R$ 20,61;por Angela Davis e Frank Barat
1590766850-364;https://www.amazon.com.br/s?k=feminismo+negro&page7;Lugar de Fala (Feminismos Plurais);R$ 13,41;por Djamila Ribeiro
1590766869-625;https://www.amazon.com.br/s?k=feminismo+negro&page1;Quem tem medo do feminismo negro?;R$ 20,90;por Djamila Ribeiro
1590766853-428;https://www.amazon.com.br/s?k=feminismo+negro&page6;Cultura negra em tempos pós-modernos;R$ 0,00;por Marco Aurélio Luz
1590766866-615;https://www.amazon.com.br/s?k=feminismo+negro&page2;Memórias da plantação: Episódios de racismo cotidiano;R$ 48,00;por Grada Kilomba e Jess Oliveira
1590766859-496;https://www.amazon.com.br/s?k=feminismo+negro&page4;Interseccionalidade;R$ 24,90;por Carla Akotirene
1590766856-471;https://www.amazon.com.br/s?k=feminismo+negro&page5;Memórias da plantação: Episódios de racismo cotidiano;R$ 48,00;por Grada Kilomba e Jess Oliveira
1590766869-651;https://www.amazon.com.br/s?k=feminismo+negro&page1;Negritude sem etnicidade: o local e o global nas relações raciais e na produção cultural negra do Brasil;R$ 0,00;por Li­vio Sansone
1590766853-395;https://www.amazon.com.br/s?k=feminismo+negro&page6;O perigo de uma história única;R$ 8,90;por Chimamanda Ngozi Adichie e Julia Romeu
1590766853-400;https://www.amazon.com.br/s?k=feminismo+negro&page6;Interseccionalidade;R$ 24,90;por Carla Akotirene
1590766869-626;https://www.amazon.com.br/s?k=feminismo+negro&page1;Quem tem medo do feminismo negro?;R$ 14,63;por Djamila Ribeiro
1590766866-590;https://www.amazon.com.br/s?k=feminismo+negro&page2;Olhares negros: Raça e representação (bell hooks);R$ 35,91;por bell hooks e Stephanie Borges
1590766859-519;https://www.amazon.com.br/s?k=feminismo+negro&page4;Memórias da plantação: Episódios de racismo cotidiano;R$ 48,00;por Grada Kilomba e Jess Oliveira
1590766850-349;https://www.amazon.com.br/s?k=feminismo+negro&page7;Eu, Tituba: Bruxa negra de Salem;R$ 35,56;por Maryse Condé
1590766862-575;https://www.amazon.com.br/s?k=feminismo+negro&page3;Ó pa í, Prezada;R$ 41,76;por Carla Akotirene
1590766866-599;https://www.amazon.com.br/s?k=feminismo+negro&page2;Sem gentileza;R$ 24,78;por Futhi Ntshingila e Hilton Lima
1590766862-558;https://www.amazon.com.br/s?k=feminismo+negro&page3;Pensando Como um Negro: Ensaio de Hermenêutica Jurídica;R$ 32,40;por Adilson José Moreira, Denise Deharo, e outros.
